RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
19-Jan-2019,WaterCheck,CRC135780,CRC135780-1,M35/8344-M1 + M35/8345-M1,8 day Volume,34560.0 m3,51678.0 m3,49.50%,11/01/2019 0:00,11/01/2019 0:00,15/01/2019 0:00
19-Jan-2019,WaterCheck,CRC122250,CRC122250-1,N32/0438-M1,Take Rate,27.5 l/s,69.4 l/s,152.50%,11/01/2019 0:45,11/01/2019 0:00,14/01/2019 12:15
19-Jan-2019,WaterCheck,CRC122250,CRC122250-1,N32/0438-M1,1 day Volume,2376.0 m3,4170.0 m3,75.50%,12/01/2019 0:00,12/01/2019 0:00,14/01/2019 0:00
19-Jan-2019,ECS,CRC121816,CRC121816-1,K38/2191-M1,Take Rate,18.7 l/s,21.4 l/s,14.30%,11/01/2019 14:45,11/01/2019 11:15,17/01/2019 19:45
19-Jan-2019,ECS,CRC121816,CRC121816-2,K38/1437-M1,Take Rate,28.1 l/s,28.2 l/s,0.40%,16/01/2019 20:00,16/01/2019 20:00,16/01/2019 20:15
19-Jan-2019,Boraman,CRC112053,CRC112053-1,K38/0972-M1 + K38/1544-M1,Take Rate,133.0 l/s,889.3 l/s,568.70%,16/01/2019 8:00,11/01/2019 0:00,18/01/2019 0:45
19-Jan-2019,Boraman,CRC112053,CRC112053-1,K38/0972-M1 + K38/1544-M1,1 day Volume,11491.0 m3,40723.0 m3,254.40%,17/01/2019 0:00,12/01/2019 0:00,18/01/2019 0:00
19-Jan-2019,Boraman,CRC112053,CRC112053-1,K38/0972-M1 + K38/1544-M1,Water Year Volume,1257456.0 m3,5598869.0 m3,345.30%,18/01/2019 0:45,11/01/2019 0:00,18/01/2019 0:45
19-Jan-2019,ECS,CRC110293,CRC110293-1,J38/0743-M1,Take Rate - Low Flow Ban,0 l/s,401.6 l/s,-,10/01/2019 16:30,9/01/2019 18:15,11/01/2019 19:15
19-Jan-2019,Boraman,CRC072619.5,CRC072619.5-1,L36/2456-M1,Take Rate - Low Flow Ban,0 l/s,2.8 l/s,-,30/12/2018 8:00,30/12/2018 8:00,30/12/2018 8:45
