RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
26-Jan-2019,WaterCheck,CRC991620.5,CRC991620.5-1,L35/0855-M1 + L35/0906-M1,Take Rate,90.0 l/s,92.2 l/s,2.40%,22-Jan-2019 11:30:00,22-Jan-2019 11:30:00,23-Jan-2019 18:30:00
26-Jan-2019,WaterCheck,CRC991620.5,CRC991620.5-1,L35/0855-M1 + L35/0906-M1,1 day Volume,7452.0 m3,7651.4 m3,2.70%,23-Jan-2019 00:00:00,20-Jan-2019 00:00:00,23-Jan-2019 00:00:00
26-Jan-2019,WaterCheck,CRC961392,CRC961392-1,L37/0005-M1 + L37/0586-M1,Take Rate,105.0 l/s,106.7 l/s,1.60%,18-Jan-2019 09:15:00,18-Jan-2019 09:00:00,24-Jan-2019 13:15:00
26-Jan-2019,WaterCheck,CRC191101,CRC191101-1,L35/0599-M1,Take Rate,34.0 l/s,34.6 l/s,1.70%,22-Jan-2019 10:30:00,20-Jan-2019 10:00:00,23-Jan-2019 18:45:00
26-Jan-2019,WaterCheck,CRC185029,CRC185029-1,N33/0388-M1,Water Year Volume,995000.0 m3,1078545.0 m3,8.40%,24-Jan-2019 11:45:00,18-Jan-2019 00:00:00,24-Jan-2019 11:45:00
26-Jan-2019,Aqualinc,CRC182004,CRC182004-1,BY20/0182-M1 + K37/0558-M1 + K37/0559-M1 + K37/2352-M1 + K37/3307-M1,Take Rate,195.0 l/s,197.2 l/s,1.10%,22-Jan-2019 16:45:00,22-Jan-2019 16:12:00,22-Jan-2019 16:45:00
26-Jan-2019,Boraman,CRC181069,CRC181069-1,BZ19/0066-M1 + BZ19/0066-M2 + BZ19/0066-M3,14 day Volume,87085.0 m3,105187.0 m3,20.80%,18-Jan-2019 00:00:00,14-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,,CRC181036,CRC181036-1,BY20/0162-M1 + K37/0976-M1,Take Rate,102.0 l/s,141.9 l/s,39.20%,23-Jan-2019 19:45:00,18-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,Boraman,CRC180552,CRC180552-1,J40/1103-M1 + J40/1103-M2 + J40/1103-M3 + J40/1103-M4,Take Rate,292.7 l/s,556.1 l/s,90.00%,19-Jan-2019 18:00:00,18-Jan-2019 14:30:00,25-Jan-2019 00:00:00
26-Jan-2019,Boraman,CRC180552,CRC180552-1,J40/1103-M1 + J40/1103-M2 + J40/1103-M3 + J40/1103-M4,1 day Volume,25289.0 m3,46740.0 m3,84.80%,21-Jan-2019 00:00:00,20-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,WaterCheck,CRC171950,CRC171950-1,L35/0986-M1 + L35/0987-M1,Take Rate,19.0 l/s,24.2 l/s,27.20%,23-Jan-2019 16:15:00,15-Jan-2019 00:00:00,24-Jan-2019 23:15:00
26-Jan-2019,WaterCheck,CRC171950,CRC171950-1,L35/0986-M1 + L35/0987-M1,10 day Volume,17270.0 m3,17376.0 m3,0.60%,23-Jan-2019 00:00:00,22-Jan-2019 00:00:00,24-Jan-2019 00:00:00
26-Jan-2019,Watermetrics,CRC164635,CRC164635-1,L36/0372-M1,Take Rate,51.0 l/s,273.5 l/s,436.20%,23-Jan-2019 03:15:00,21-Jan-2019 13:45:00,23-Jan-2019 06:45:00
26-Jan-2019,Watermetrics,CRC164635,CRC164635-1,L36/0372-M1,1 day Volume,4406.0 m3,20561.0 m3,366.70%,23-Jan-2019 00:00:00,22-Jan-2019 00:00:00,24-Jan-2019 00:00:00
26-Jan-2019,,CRC162204,CRC162204-1,L36/1752-M1 + L36/2360-M1,Take Rate,115.0 l/s,173.9 l/s,51.20%,18-Jan-2019 12:00:00,18-Jan-2019 00:00:00,19-Jan-2019 10:45:00
26-Jan-2019,,CRC162204,CRC162204-1,L36/1752-M1 + L36/2360-M1,Take Rate - Low Flow Ban,0 l/s,95.6 l/s,-,19-Jan-2019 08:15:00,19-Jan-2019 08:00:00,19-Jan-2019 10:45:00
26-Jan-2019,Boraman,CRC151545,CRC151545-1,L36/1512-M1,Take Rate,65.0 l/s,77.1 l/s,18.60%,18-Jan-2019 14:15:00,18-Jan-2019 13:45:00,19-Jan-2019 14:00:00
26-Jan-2019,DataCol,CRC150940,CRC150940-1,K36/0958-M1,Take Rate,200.0 l/s,18743.1 l/s,9271.50%,22-Jan-2019 22:00:00,18-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,DataCol,CRC150940,CRC150940-1,K36/0958-M1,Water Year Volume,2250000.0 m3,40700950.0 m3,1708.90%,25-Jan-2019 00:00:00,18-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,Boraman,CRC150104,CRC150104-1,I40/0609-M1 + I40/0610-M1 + I40/0610-M2 + I40/0610-M3 + I40/0610-M4 + I40/0610-M5,Take Rate,570.0 l/s,715.4 l/s,25.50%,16-Jan-2019 18:00:00,16-Jan-2019 16:00:00,22-Jan-2019 18:15:00
26-Jan-2019,Watermetrics,CRC143559,CRC143559-1,K37/3084-M1,7 day Volume,8000.0 m3,8459.0 m3,5.70%,19-Jan-2019 00:00:00,19-Jan-2019 00:00:00,19-Jan-2019 00:00:00
26-Jan-2019,ECS,CRC140633,CRC140633-1,K38/0048-M1 + K38/0049-M1 + K38/0611-M1 + K38/0614-M1,Take Rate,92.0 l/s,101.9 l/s,10.80%,23-Jan-2019 16:00:00,22-Jan-2019 13:30:00,24-Jan-2019 11:30:00
26-Jan-2019,DataCol,CRC136915,CRC136915-1,L36/1564-M1,Take Rate,23.0 l/s,31.1 l/s,35.30%,18-Jan-2019 12:30:00,18-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,WaterCheck,CRC136062,CRC136062-1,M36/1866-M1,Take Rate,23.4 l/s,27.0 l/s,15.20%,22-Jan-2019 14:15:00,22-Jan-2019 14:00:00,23-Jan-2019 06:45:00
26-Jan-2019,Loncel,CRC131613,CRC131613-1,J40/0878-M1,Take Rate,65.0 l/s,65.9 l/s,1.40%,24-Jan-2019 06:00:00,23-Jan-2019 12:45:00,25-Jan-2019 09:30:00
26-Jan-2019,Loncel,CRC131613,CRC131613-1,J40/0878-M1,1 day Volume,5616.0 m3,5617.5 m3,0.00%,25-Jan-2019 00:00:00,25-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,Watermetrics,CRC040423,CRC040423-1,M33/0193-M1 + M33/0288-M1,Take Rate,60.0 l/s,60.6 l/s,0.90%,24-Jan-2019 20:00:00,24-Jan-2019 19:30:00,24-Jan-2019 21:30:00
26-Jan-2019,Boraman,CRC030666,CRC030666-1,K37/1386-M1,1 day Volume,656.0 m3,664.7 m3,1.30%,25-Jan-2019 00:00:00,25-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,Loncel,CRC030138,CRC030138-1,J40/0687-M1,Take Rate,45.0 l/s,50.5 l/s,12.20%,23-Jan-2019 10:00:00,23-Jan-2019 09:45:00,23-Jan-2019 14:15:00
26-Jan-2019,Watermetrics,CRC021681.2,CRC021681.2-1,K37/1457-M1,Take Rate,85.0 l/s,100.0 l/s,17.60%,18-Jan-2019 00:00:00,18-Jan-2019 00:00:00,19-Jan-2019 09:45:00
26-Jan-2019,Watermetrics,CRC020890.1,CRC020890.1-1,L36/1497-M1,Take Rate,15.0 l/s,15.4 l/s,2.80%,18-Jan-2019 00:30:00,18-Jan-2019 00:00:00,19-Jan-2019 04:00:00
26-Jan-2019,DataCol,CRC012541.1,CRC012541.1-1,M35/6987-M1,5 day Volume,2915.0 m3,3145.0 m3,7.90%,19-Jan-2019 00:00:00,19-Jan-2019 00:00:00,19-Jan-2019 00:00:00
26-Jan-2019,DataCol,CRC011780.3,CRC011780.3-1,K38/1271-M1,20 day Volume,3960.0 m3,19963.7 m3,404.10%,12-Jan-2019 00:00:00,06-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,Boraman,CRC980090.2,CRC980090.2-1,L37/0675-M1 + L37/0675-M2 + L37/1760-M1,Take Rate,108.0 l/s,122.4 l/s,13.30%,20-Jan-2019 15:00:00,18-Jan-2019 00:00:00,25-Jan-2019 00:15:00
26-Jan-2019,WaterCheck,CRC970851.7,CRC970851.7-1,L36/1076-M1,Take Rate - Low Flow Ban,0 l/s,26.0 l/s,-,20-Jan-2019 06:00:00,19-Jan-2019 19:30:00,20-Jan-2019 22:45:00
26-Jan-2019,WaterCheck,CRC970851.7,CRC970851.7-2,L36/2411-M1,Take Rate,22.5 l/s,33.3 l/s,48.10%,23-Jan-2019 08:15:00,18-Jan-2019 00:00:00,23-Jan-2019 11:15:00
26-Jan-2019,WaterCheck,CRC970851.7,CRC970851.7-2,L36/2411-M1,Take Rate - Low Flow Ban,0 l/s,22.1 l/s,-,18-Jan-2019 06:45:00,18-Jan-2019 00:00:00,18-Jan-2019 08:45:00
26-Jan-2019,Watermetrics,CRC191850,CRC191850-2,L36/0496-M1,Take Rate,18.0 l/s,29.2 l/s,62.00%,11-Jan-2019 17:00:00,06-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,DataCol,CRC191201,CRC191201-1,L36/1900-M1,Take Rate,48.0 l/s,49.2 l/s,2.40%,24-Jan-2019 12:15:00,22-Jan-2019 10:45:00,25-Jan-2019 00:00:00
26-Jan-2019,,CRC183688,CRC183688-1,L36/0515-M1 + L36/2137-M1,Take Rate,45.0 l/s,60.0 l/s,33.30%,21-Jan-2019 00:30:00,18-Jan-2019 08:45:00,21-Jan-2019 07:30:00
26-Jan-2019,Watermetrics,CRC183006,CRC183006-1,L35/0986-M1 + L35/0987-M1,Take Rate,19.0 l/s,24.2 l/s,27.20%,23-Jan-2019 16:15:00,15-Jan-2019 00:00:00,24-Jan-2019 23:15:00
26-Jan-2019,Watermetrics,CRC183006,CRC183006-1,L35/0986-M1 + L35/0987-M1,10 day Volume,17270.0 m3,17376.0 m3,0.60%,23-Jan-2019 00:00:00,22-Jan-2019 00:00:00,24-Jan-2019 00:00:00
26-Jan-2019,Boraman,CRC181334,CRC181334-1,K38/1966-M1,30 day Volume,13789.0 m3,21409.8 m3,55.30%,25-Jan-2019 00:00:00,19-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,Harvest,CRC180575,CRC180575-1,L37/0082-M1,Take Rate,68.6 l/s,619.7 l/s,803.40%,24-Jan-2019 11:40:00,24-Jan-2019 10:30:00,24-Jan-2019 13:30:00
26-Jan-2019,ECS,CRC180498,CRC180498-1,J40/0912-M1,Take Rate,6000.0 l/s,7940.7 l/s,32.30%,25-Jan-2019 09:15:00,23-Jan-2019 05:45:00,25-Jan-2019 11:00:00
26-Jan-2019,ECS,CRC180498,CRC180498-1,J40/0912-M1,1 day Volume,518400.0 m3,586234.2 m3,13.10%,25-Jan-2019 00:00:00,24-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,WaterCheck,CRC180245,CRC180245-1,N32/0420-M1,Take Rate,60.0 l/s,60.4 l/s,0.70%,20-Jan-2019 11:15:00,20-Jan-2019 11:15:00,20-Jan-2019 23:30:00
26-Jan-2019,Watermetrics,CRC175856,CRC175856-1,L36/0335-M1 + L36/0380-M1,Take Rate,70.0 l/s,146.4 l/s,109.20%,23-Jan-2019 11:15:00,18-Jan-2019 00:00:00,25-Jan-2019 00:00:00
26-Jan-2019,Watermetrics,CRC175856,CRC175856-1,L36/0335-M1 + L36/0380-M1,1 day Volume,6048.0 m3,11484.0 m3,89.90%,24-Jan-2019 00:00:00,19-Jan-2019 00:00:00,24-Jan-2019 00:00:00
26-Jan-2019,ECS,CRC174437,CRC174437-1,J38/0253-M1,Take Rate - Low Flow Ban,0 l/s,26.3 l/s,-,24-Jan-2019 13:00:00,22-Jan-2019 10:15:00,24-Jan-2019 22:00:00
26-Jan-2019,WaterCheck,CRC173744,CRC173744-1,L35/0855-M1 + L35/0906-M1,Take Rate,90.0 l/s,92.2 l/s,2.40%,22-Jan-2019 11:30:00,22-Jan-2019 11:30:00,23-Jan-2019 18:30:00
26-Jan-2019,Watermetrics,CRC172468,CRC172468-1,M35/3672-M1,Take Rate,12.0 l/s,123.2 l/s,926.60%,20-Jan-2019 20:30:00,19-Jan-2019 19:15:00,20-Jan-2019 22:15:00
26-Jan-2019,WaterCheck,CRC168172,CRC168172-1,K36/0595-M1,Take Rate,6.7 l/s,8.0 l/s,19.40%,24-Jan-2019 00:30:00,23-Jan-2019 20:45:00,24-Jan-2019 00:45:00
26-Jan-2019,Aqualinc,CRC167182,CRC167182-1,L36/0382-M1 + L36/1519-M1 + L36/1520-M1 + L36/1999-M1,Take Rate - Low Flow Ban,0 l/s,177.6 l/s,-,20-Jan-2019 08:30:00,19-Jan-2019 08:00:00,20-Jan-2019 20:45:00
26-Jan-2019,DataCol,CRC162997,CRC162997-1,BX21/0038-M1 + L36/2113-M1,Take Rate,80.0 l/s,82.4 l/s,3.00%,20-Jan-2019 00:15:00,19-Jan-2019 07:15:00,24-Jan-2019 22:45:00
26-Jan-2019,DataCol,CRC162997,CRC162997-1,BX21/0038-M1 + L36/2113-M1,Take Rate - Low Flow Ban,0 l/s,79.9 l/s,-,24-Jan-2019 22:30:00,19-Jan-2019 07:15:00,24-Jan-2019 22:45:00
26-Jan-2019,DataCol,CRC162997,CRC162997-1,BX21/0038-M1 + L36/2113-M1,1 day Volume,6912.0 m3,6924.7 m3,0.20%,24-Jan-2019 00:00:00,24-Jan-2019 00:00:00,24-Jan-2019 00:00:00
26-Jan-2019,Boraman,CRC162722,CRC162722-1,BZ19/0098-M1 + J38/0808-M1 + J38/0808-M2,Take Rate,87.2 l/s,304.7 l/s,249.50%,18-Jan-2019 00:00:00,18-Jan-2019 00:00:00,18-Jan-2019 01:15:00
26-Jan-2019,,CRC162205,CRC162205-1,L36/1856-M1 + L36/2360-M1,Take Rate,139.0 l/s,177.5 l/s,27.70%,23-Jan-2019 16:45:00,21-Jan-2019 17:15:00,23-Jan-2019 21:45:00
26-Jan-2019,DataCol,CRC155946,CRC155946-1,K38/1271-M1,20 day Volume,14310.0 m3,19963.7 m3,39.50%,12-Jan-2019 00:00:00,07-Jan-2019 00:00:00,25-Jan-2019 00:00:00
