RunDate,Service Provider,ConsentID or Water Group,Activity Number,Meters,Type,Limit,Max Use,Percent Over Limit,Date of Highest Overage,Date of Earliest Non-compliance,Date of Latest Non-compliance
27-Jan-2019,WaterCheck,CRC991620.5,CRC991620.5-1,L35/0855-M1 + L35/0906-M1,Take Rate,90.0 l/s,92.2 l/s,2.40%,22-Jan-2019 11:30:00,22-Jan-2019 11:30:00,23-Jan-2019 18:30:00
27-Jan-2019,WaterCheck,CRC991620.5,CRC991620.5-1,L35/0855-M1 + L35/0906-M1,1 day Volume,7452.0 m3,7651.4 m3,2.70%,23-Jan-2019 00:00:00,20-Jan-2019 00:00:00,23-Jan-2019 00:00:00
27-Jan-2019,WaterCheck,CRC990501.2,CRC990501.2-1,M35/11240-M1 + M35/11241-M1 + M35/11242-M1,Take Rate,53.0 l/s,63.5 l/s,19.70%,24-Jan-2019 12:15:00,24-Jan-2019 11:15:00,25-Jan-2019 11:15:00
27-Jan-2019,WaterCheck,CRC961392,CRC961392-1,L37/0005-M1 + L37/0586-M1,Take Rate,105.0 l/s,109.0 l/s,3.80%,26-Jan-2019 00:15:00,19-Jan-2019 11:15:00,26-Jan-2019 02:00:00
27-Jan-2019,WaterCheck,CRC191101,CRC191101-1,L35/0599-M1,Take Rate,34.0 l/s,34.6 l/s,1.70%,22-Jan-2019 10:30:00,20-Jan-2019 10:00:00,25-Jan-2019 01:00:00
27-Jan-2019,WaterCheck,CRC185029,CRC185029-1,N33/0388-M1,Water Year Volume,995000.0 m3,1083494.0 m3,8.90%,25-Jan-2019 11:15:00,19-Jan-2019 00:00:00,25-Jan-2019 11:15:00
27-Jan-2019,Aqualinc,CRC182004,CRC182004-1,BY20/0182-M1 + K37/0558-M1 + K37/0559-M1 + K37/2352-M1 + K37/3307-M1,Take Rate,195.0 l/s,197.2 l/s,1.10%,22-Jan-2019 16:45:00,22-Jan-2019 16:12:00,22-Jan-2019 16:45:00
27-Jan-2019,Boraman,CRC181069,CRC181069-1,BZ19/0066-M1 + BZ19/0066-M2 + BZ19/0066-M3,14 day Volume,87085.0 m3,105187.0 m3,20.80%,18-Jan-2019 00:00:00,14-Jan-2019 00:00:00,25-Jan-2019 00:00:00
27-Jan-2019,,CRC181036,CRC181036-1,BY20/0162-M1 + K37/0976-M1,Take Rate,102.0 l/s,141.9 l/s,39.20%,23-Jan-2019 19:45:00,19-Jan-2019 00:00:00,26-Jan-2019 00:00:00
27-Jan-2019,Boraman,CRC180552,CRC180552-1,J40/1103-M1 + J40/1103-M2 + J40/1103-M3 + J40/1103-M4,Take Rate,292.7 l/s,556.1 l/s,90.00%,19-Jan-2019 18:00:00,19-Jan-2019 00:00:00,26-Jan-2019 00:00:00
27-Jan-2019,Boraman,CRC180552,CRC180552-1,J40/1103-M1 + J40/1103-M2 + J40/1103-M3 + J40/1103-M4,1 day Volume,25289.0 m3,46740.0 m3,84.80%,21-Jan-2019 00:00:00,20-Jan-2019 00:00:00,26-Jan-2019 00:00:00
27-Jan-2019,WaterCheck,CRC171950,CRC171950-1,L35/0986-M1 + L35/0987-M1,Take Rate,19.0 l/s,24.4 l/s,28.70%,25-Jan-2019 16:15:00,16-Jan-2019 01:15:00,26-Jan-2019 00:00:00
27-Jan-2019,WaterCheck,CRC171950,CRC171950-1,L35/0986-M1 + L35/0987-M1,10 day Volume,17270.0 m3,17578.0 m3,1.80%,26-Jan-2019 00:00:00,22-Jan-2019 00:00:00,26-Jan-2019 00:00:00
27-Jan-2019,Watermetrics,CRC164635,CRC164635-1,L36/0372-M1,Take Rate,51.0 l/s,273.5 l/s,436.20%,23-Jan-2019 03:15:00,21-Jan-2019 13:45:00,23-Jan-2019 06:45:00
27-Jan-2019,Watermetrics,CRC164635,CRC164635-1,L36/0372-M1,1 day Volume,4406.0 m3,20561.0 m3,366.70%,23-Jan-2019 00:00:00,22-Jan-2019 00:00:00,24-Jan-2019 00:00:00
27-Jan-2019,,CRC162204,CRC162204-1,L36/1752-M1 + L36/2360-M1,Take Rate,115.0 l/s,115.8 l/s,0.70%,19-Jan-2019 00:00:00,19-Jan-2019 00:00:00,19-Jan-2019 10:45:00
27-Jan-2019,,CRC162204,CRC162204-1,L36/1752-M1 + L36/2360-M1,Take Rate - Low Flow Ban,0 l/s,95.6 l/s,-,19-Jan-2019 08:15:00,19-Jan-2019 08:00:00,19-Jan-2019 10:45:00
