ID,ConsentID or Water Group,IgnoreReasonID,Comment,CreatedBy,StartDate,EndDate
572,CRC030819,Complicated Allocation,Bulk Import 25/01/590,CH\KatieSi,25/01/2019,30/06/2019
573,CRC030944,Complicated Allocation,Bulk Import 25/01/591,CH\KatieSi,25/01/2019,30/06/2019
574,CRC031004.2,Regionally Significant,Bulk Import 25/01/592,CH\KatieSi,25/01/2019,30/06/2019
575,CRC031005,Regionally Significant,Bulk Import 25/01/593,CH\KatieSi,25/01/2019,30/06/2019
576,CRC031021,Under 5l/s,Bulk Import 25/01/594,CH\KatieSi,25/01/2019,30/06/2019
577,CRC031044,Under 5l/s,Bulk Import 25/01/595,CH\KatieSi,25/01/2019,30/06/2019
578,CRC031059.1,Complicated Allocation,Bulk Import 25/01/596,CH\KatieSi,25/01/2019,30/06/2019
579,CRC031150.1,Associated Permits Confirmed,Bulk Import 25/01/597,CH\KatieSi,25/01/2019,30/06/2019
580,CRC031159.2,Consents with Associated WAPS,Bulk Import 25/01/598,CH\KatieSi,25/01/2019,30/06/2019
581,CRC031177,Under 5l/s,Bulk Import 25/01/599,CH\KatieSi,25/01/2019,30/06/2019
582,CRC031178.4,Consents with Associated WAPS,Bulk Import 25/01/600,CH\KatieSi,25/01/2019,30/06/2019
583,CRC031238.4,Associated Permits Confirmed,Bulk Import 25/01/601,CH\KatieSi,25/01/2019,30/06/2019
584,CRC031246,Consents with Associated WAPS,Bulk Import 25/01/602,CH\KatieSi,25/01/2019,30/06/2019
585,CRC031313,Under 5l/s,Bulk Import 25/01/603,CH\KatieSi,25/01/2019,30/06/2019
586,CRC031320,Consents with Associated WAPS,Bulk Import 25/01/604,CH\KatieSi,25/01/2019,30/06/2019
587,CRC031519,Associated Permits Assumed,Bulk Import 25/01/605,CH\KatieSi,25/01/2019,30/06/2019
588,CRC031566.1,Under 5l/s,Bulk Import 25/01/606,CH\KatieSi,25/01/2019,30/06/2019
589,CRC031570.1,Regionally Significant,Bulk Import 25/01/607,CH\KatieSi,25/01/2019,30/06/2019
590,CRC031668.1,Consents with Associated WAPS,Bulk Import 25/01/608,CH\KatieSi,25/01/2019,30/06/2019
591,CRC031767.1,Associated Permits Assumed,Bulk Import 25/01/609,CH\KatieSi,25/01/2019,30/06/2019
592,CRC032124,Consents with Associated WAPS,Bulk Import 25/01/610,CH\KatieSi,25/01/2019,30/06/2019
593,CRC032149,Regionally Significant,Bulk Import 25/01/611,CH\KatieSi,25/01/2019,30/06/2019
594,CRC032150,Consents with Associated WAPS,Bulk Import 25/01/612,CH\KatieSi,25/01/2019,30/06/2019
595,CRC032156,Complicated Allocation,Bulk Import 25/01/613,CH\KatieSi,25/01/2019,30/06/2019
596,CRC032184,Under 5l/s,Bulk Import 25/01/614,CH\KatieSi,25/01/2019,30/06/2019
597,CRC032200.2,Consents with Associated WAPS,Bulk Import 25/01/615,CH\KatieSi,25/01/2019,30/06/2019
598,CRC032239.1,Under 5l/s,Bulk Import 25/01/616,CH\KatieSi,25/01/2019,30/06/2019
599,CRC032274,Under 5l/s,Bulk Import 25/01/617,CH\KatieSi,25/01/2019,30/06/2019
600,CRC040015,Under 5l/s,Bulk Import 25/01/618,CH\KatieSi,25/01/2019,30/06/2019
601,CRC040055,Consents with Associated WAPS,Bulk Import 25/01/619,CH\KatieSi,25/01/2019,30/06/2019
602,CRC040069.2,Complicated Allocation,Bulk Import 25/01/620,CH\KatieSi,25/01/2019,30/06/2019
603,CRC040087.1,Consents with Associated WAPS,Bulk Import 25/01/621,CH\KatieSi,25/01/2019,30/06/2019
604,CRC040105,Under 5l/s,Bulk Import 25/01/622,CH\KatieSi,25/01/2019,30/06/2019
605,CRC040124.2,Associated Permits Assumed,Bulk Import 25/01/623,CH\KatieSi,25/01/2019,30/06/2019
606,CRC040180,Consents with Associated WAPS,Bulk Import 25/01/624,CH\KatieSi,25/01/2019,30/06/2019
607,CRC040185.2,Associated Permits Confirmed,Bulk Import 25/01/625,CH\KatieSi,25/01/2019,30/06/2019
