ID,ConsentID or Water Group,IgnoreReasonID,Comment,CreatedBy,StartDate,EndDate
1,CRC000023.1,Consents with Associated WAPS,Bulk Import 25/01/19,CH\KatieSi,25/01/2019,30/06/2019
2,CRC000027,Under 5l/s,Bulk Import 25/01/20,CH\KatieSi,25/01/2019,30/06/2019
3,CRC000042.1,Consents with Associated WAPS,Bulk Import 25/01/21,CH\KatieSi,25/01/2019,30/06/2019
4,CRC000045,Associated Permits Confirmed,Bulk Import 25/01/22,CH\KatieSi,25/01/2019,30/06/2019
5,CRC000056.4,Consents with Associated WAPS,Bulk Import 25/01/23,CH\KatieSi,25/01/2019,30/06/2019
6,CRC000061.1,Complicated Allocation,Bulk Import 25/01/24,CH\KatieSi,25/01/2019,30/06/2019
7,CRC000065,Regionally Significant,Bulk Import 25/01/25,CH\KatieSi,25/01/2019,30/06/2019
8,CRC000066,Regionally Significant,Bulk Import 25/01/26,CH\KatieSi,25/01/2019,30/06/2019
9,CRC000103,Complicated Allocation,Bulk Import 25/01/27,CH\KatieSi,25/01/2019,30/06/2019
10,CRC000115,Associated Permits Assumed,Bulk Import 25/01/28,CH\KatieSi,25/01/2019,30/06/2019
11,CRC000219,Regionally Significant,Bulk Import 25/01/29,CH\KatieSi,25/01/2019,30/06/2019
12,CRC000232.2,Consents with Associated WAPS,Bulk Import 25/01/30,CH\KatieSi,25/01/2019,30/06/2019
13,CRC000308,Under 5l/s,Bulk Import 25/01/31,CH\KatieSi,25/01/2019,30/06/2019
14,CRC000320.1,Regionally Significant,Bulk Import 25/01/32,CH\KatieSi,25/01/2019,30/06/2019
15,CRC000331,Regionally Significant,Bulk Import 25/01/33,CH\KatieSi,25/01/2019,30/06/2019
16,CRC000366.2,Consents with Associated WAPS,Bulk Import 25/01/34,CH\KatieSi,25/01/2019,30/06/2019
17,CRC000376.3,Complicated Allocation,Bulk Import 25/01/35,CH\KatieSi,25/01/2019,30/06/2019
18,CRC000378.2,Complicated Allocation,Bulk Import 25/01/36,CH\KatieSi,25/01/2019,30/06/2019
19,CRC000398,Consents with Associated WAPS,Bulk Import 25/01/37,CH\KatieSi,25/01/2019,30/06/2019
20,CRC000412,Associated Permits Assumed,Bulk Import 25/01/38,CH\KatieSi,25/01/2019,30/06/2019
21,CRC000413,Associated Permits Assumed,Bulk Import 25/01/39,CH\KatieSi,25/01/2019,30/06/2019
22,CRC000440.1,Complicated Allocation,Bulk Import 25/01/40,CH\KatieSi,25/01/2019,30/06/2019
23,CRC000443.1,Under 5l/s,Bulk Import 25/01/41,CH\KatieSi,25/01/2019,30/06/2019
24,CRC000459.1,Associated Permits Assumed,Bulk Import 25/01/42,CH\KatieSi,25/01/2019,30/06/2019
25,CRC000472.2,Associated Permits Assumed,Bulk Import 25/01/43,CH\KatieSi,25/01/2019,30/06/2019
26,CRC000492.2,Under 5l/s,Bulk Import 25/01/44,CH\KatieSi,25/01/2019,30/06/2019
27,CRC000521,Associated Permits Assumed,Bulk Import 25/01/45,CH\KatieSi,25/01/2019,30/06/2019
28,CRC000522,Consents with Associated WAPS,Bulk Import 25/01/46,CH\KatieSi,25/01/2019,30/06/2019
29,CRC000523,Consents with Associated WAPS,Bulk Import 25/01/47,CH\KatieSi,25/01/2019,30/06/2019
30,CRC000527,Consents with Associated WAPS,Bulk Import 25/01/48,CH\KatieSi,25/01/2019,30/06/2019
31,CRC000528,Consents with Associated WAPS,Bulk Import 25/01/49,CH\KatieSi,25/01/2019,30/06/2019
32,CRC000534.1,Regionally Significant,Bulk Import 25/01/50,CH\KatieSi,25/01/2019,30/06/2019
33,CRC000539,Consents with Associated WAPS,Bulk Import 25/01/51,CH\KatieSi,25/01/2019,30/06/2019
34,CRC000601.1,Associated Permits Confirmed,Bulk Import 25/01/52,CH\KatieSi,25/01/2019,30/06/2019
35,CRC000602.2,Complicated Allocation,Bulk Import 25/01/53,CH\KatieSi,25/01/2019,30/06/2019
36,CRC000607.1,Complicated Allocation,Bulk Import 25/01/54,CH\KatieSi,25/01/2019,30/06/2019
37,CRC000613,Complicated Allocation,Bulk Import 25/01/55,CH\KatieSi,25/01/2019,30/06/2019
38,CRC000685,Complicated Allocation,Bulk Import 25/01/56,CH\KatieSi,25/01/2019,30/06/2019
39,CRC000719.1,Associated Permits Assumed,Bulk Import 25/01/57,CH\KatieSi,25/01/2019,30/06/2019
40,CRC000744.1,Complicated Allocation,Bulk Import 25/01/58,CH\KatieSi,25/01/2019,30/06/2019
41,CRC000777,Regionally Significant,Bulk Import 25/01/59,CH\KatieSi,25/01/2019,30/06/2019
42,CRC000790,Associated Permits Confirmed,Bulk Import 25/01/60,CH\KatieSi,25/01/2019,30/06/2019
43,CRC000825,Consents with Associated WAPS,Bulk Import 25/01/61,CH\KatieSi,25/01/2019,30/06/2019
44,CRC000835.2,Complicated Allocation,Bulk Import 25/01/62,CH\KatieSi,25/01/2019,30/06/2019
45,CRC000854.2,Complicated Allocation,Bulk Import 25/01/63,CH\KatieSi,25/01/2019,30/06/2019
46,CRC000871.1,Complicated Allocation,Bulk Import 25/01/64,CH\KatieSi,25/01/2019,30/06/2019
47,CRC000872,Associated Permits Confirmed,Bulk Import 25/01/65,CH\KatieSi,25/01/2019,30/06/2019
48,CRC000874,Associated Permits Confirmed,Bulk Import 25/01/66,CH\KatieSi,25/01/2019,30/06/2019
49,CRC000882,Regionally Significant,Bulk Import 25/01/67,CH\KatieSi,25/01/2019,30/06/2019
50,CRC000897,Consents with Associated WAPS,Bulk Import 25/01/68,CH\KatieSi,25/01/2019,30/06/2019
51,CRC000940.1,Under 5l/s,Bulk Import 25/01/69,CH\KatieSi,25/01/2019,30/06/2019
52,CRC000945,Consents with Associated WAPS,Bulk Import 25/01/70,CH\KatieSi,25/01/2019,30/06/2019
53,CRC000976.1,Under 5l/s,Bulk Import 25/01/71,CH\KatieSi,25/01/2019,30/06/2019
54,CRC001001,Under 5l/s,Bulk Import 25/01/72,CH\KatieSi,25/01/2019,30/06/2019
55,CRC001019.1,Consents with Associated WAPS,Bulk Import 25/01/73,CH\KatieSi,25/01/2019,30/06/2019
56,CRC001034,Under 5l/s,Bulk Import 25/01/74,CH\KatieSi,25/01/2019,30/06/2019
57,CRC001050,Consents with Associated WAPS,Bulk Import 25/01/75,CH\KatieSi,25/01/2019,30/06/2019
58,CRC001075.2,Associated Permits Assumed,Bulk Import 25/01/76,CH\KatieSi,25/01/2019,30/06/2019
59,CRC001128,Associated Permits Confirmed,Bulk Import 25/01/77,CH\KatieSi,25/01/2019,30/06/2019
60,CRC001130,Under 5l/s,Bulk Import 25/01/78,CH\KatieSi,25/01/2019,30/06/2019
61,CRC001135.2,Consents with Associated WAPS,Bulk Import 25/01/79,CH\KatieSi,25/01/2019,30/06/2019
62,CRC001151,Under 5l/s,Bulk Import 25/01/80,CH\KatieSi,25/01/2019,30/06/2019
63,CRC001155.1,Complicated Allocation,Bulk Import 25/01/81,CH\KatieSi,25/01/2019,30/06/2019
64,CRC001189,Associated Permits Assumed,Bulk Import 25/01/82,CH\KatieSi,25/01/2019,30/06/2019
65,CRC001198.1,Consents with Associated WAPS,Bulk Import 25/01/83,CH\KatieSi,25/01/2019,30/06/2019
66,CRC001199.1,Consents with Associated WAPS,Bulk Import 25/01/84,CH\KatieSi,25/01/2019,30/06/2019
67,CRC001221.2,Complicated Allocation,Bulk Import 25/01/85,CH\KatieSi,25/01/2019,30/06/2019
68,CRC001229.1,Complicated Allocation,Bulk Import 25/01/86,CH\KatieSi,25/01/2019,30/06/2019
69,CRC001252.5,Consents with Associated WAPS,Bulk Import 25/01/87,CH\KatieSi,25/01/2019,30/06/2019
70,CRC001269,Under 5l/s,Bulk Import 25/01/88,CH\KatieSi,25/01/2019,30/06/2019
71,CRC001288,Complicated Allocation,Bulk Import 25/01/89,CH\KatieSi,25/01/2019,30/06/2019
72,CRC001310,Consents with Associated WAPS,Bulk Import 25/01/90,CH\KatieSi,25/01/2019,30/06/2019
73,CRC001343,Associated Permits Confirmed,Bulk Import 25/01/91,CH\KatieSi,25/01/2019,30/06/2019
74,CRC001377.5,Complicated Allocation,Bulk Import 25/01/92,CH\KatieSi,25/01/2019,30/06/2019
75,CRC001398.1,Associated Permits Assumed,Bulk Import 25/01/93,CH\KatieSi,25/01/2019,30/06/2019
76,CRC001430.1,Complicated Allocation,Bulk Import 25/01/94,CH\KatieSi,25/01/2019,30/06/2019
77,CRC001479,Consents with Associated WAPS,Bulk Import 25/01/95,CH\KatieSi,25/01/2019,30/06/2019
78,CRC001486.3,Associated Permits Confirmed,Bulk Import 25/01/96,CH\KatieSi,25/01/2019,30/06/2019
79,CRC001588,Associated Permits Confirmed,Bulk Import 25/01/97,CH\KatieSi,25/01/2019,30/06/2019
80,CRC001590,Regionally Significant,Bulk Import 25/01/98,CH\KatieSi,25/01/2019,30/06/2019
81,CRC001609,Under 5l/s,Bulk Import 25/01/99,CH\KatieSi,25/01/2019,30/06/2019
82,CRC001611,Associated Permits Assumed,Bulk Import 25/01/100,CH\KatieSi,25/01/2019,30/06/2019
83,CRC001613,Under 5l/s,Bulk Import 25/01/101,CH\KatieSi,25/01/2019,30/06/2019
84,CRC001614,Associated Permits Confirmed,Bulk Import 25/01/102,CH\KatieSi,25/01/2019,30/06/2019
85,CRC001615,Associated Permits Confirmed,Bulk Import 25/01/103,CH\KatieSi,25/01/2019,30/06/2019
86,CRC001625,Under 5l/s,Bulk Import 25/01/104,CH\KatieSi,25/01/2019,30/06/2019
87,CRC001626,Associated Permits Confirmed,Bulk Import 25/01/105,CH\KatieSi,25/01/2019,30/06/2019
88,CRC001659,Associated Permits Confirmed,Bulk Import 25/01/106,CH\KatieSi,25/01/2019,30/06/2019
89,CRC001663.3,Under 5l/s,Bulk Import 25/01/107,CH\KatieSi,25/01/2019,30/06/2019
90,CRC001697.2,Under 5l/s,Bulk Import 25/01/108,CH\KatieSi,25/01/2019,30/06/2019
91,CRC001700,Associated Permits Confirmed,Bulk Import 25/01/109,CH\KatieSi,25/01/2019,30/06/2019
92,CRC001703,Associated Permits Confirmed,Bulk Import 25/01/110,CH\KatieSi,25/01/2019,30/06/2019
93,CRC001721.2,Consents with Associated WAPS,Bulk Import 25/01/111,CH\KatieSi,25/01/2019,30/06/2019
94,CRC001735.1,Associated Permits Confirmed,Bulk Import 25/01/112,CH\KatieSi,25/01/2019,30/06/2019
95,CRC001736.2,Associated Permits Confirmed,Bulk Import 25/01/113,CH\KatieSi,25/01/2019,30/06/2019
96,CRC001737.4,Associated Permits Confirmed,Bulk Import 25/01/114,CH\KatieSi,25/01/2019,30/06/2019
97,CRC001738.1,Associated Permits Confirmed,Bulk Import 25/01/115,CH\KatieSi,25/01/2019,30/06/2019
98,CRC001740.1,Associated Permits Confirmed,Bulk Import 25/01/116,CH\KatieSi,25/01/2019,30/06/2019
99,CRC001742.1,Associated Permits Confirmed,Bulk Import 25/01/117,CH\KatieSi,25/01/2019,30/06/2019
100,CRC001756.2,Under 5l/s,Bulk Import 25/01/118,CH\KatieSi,25/01/2019,30/06/2019
101,CRC001811.2,Complicated Allocation,Bulk Import 25/01/119,CH\KatieSi,25/01/2019,30/06/2019
102,CRC001815.1,Consents with Associated WAPS,Bulk Import 25/01/120,CH\KatieSi,25/01/2019,30/06/2019
103,CRC001820.2,Consents with Associated WAPS,Bulk Import 25/01/121,CH\KatieSi,25/01/2019,30/06/2019
104,CRC001872,Associated Permits Confirmed,Bulk Import 25/01/122,CH\KatieSi,25/01/2019,30/06/2019
105,CRC001888,Associated Permits Confirmed,Bulk Import 25/01/123,CH\KatieSi,25/01/2019,30/06/2019
106,CRC001892,Under 5l/s,Bulk Import 25/01/124,CH\KatieSi,25/01/2019,30/06/2019
107,CRC001915,Regionally Significant,Bulk Import 25/01/125,CH\KatieSi,25/01/2019,30/06/2019
108,CRC001953.1,Complicated Allocation,Bulk Import 25/01/126,CH\KatieSi,25/01/2019,30/06/2019
109,CRC001972,Under 5l/s,Bulk Import 25/01/127,CH\KatieSi,25/01/2019,30/06/2019
110,CRC001999,Associated Permits Confirmed,Bulk Import 25/01/128,CH\KatieSi,25/01/2019,30/06/2019
111,CRC002008.1,Consents with Associated WAPS,Bulk Import 25/01/129,CH\KatieSi,25/01/2019,30/06/2019
112,CRC002014,Regionally Significant,Bulk Import 25/01/130,CH\KatieSi,25/01/2019,30/06/2019
113,CRC002016,Regionally Significant,Bulk Import 25/01/131,CH\KatieSi,25/01/2019,30/06/2019
114,CRC002017,Regionally Significant,Bulk Import 25/01/132,CH\KatieSi,25/01/2019,30/06/2019
115,CRC002021,Regionally Significant,Bulk Import 25/01/133,CH\KatieSi,25/01/2019,30/06/2019
116,CRC002023,Regionally Significant,Bulk Import 25/01/134,CH\KatieSi,25/01/2019,30/06/2019
117,CRC002024,Regionally Significant,Bulk Import 25/01/135,CH\KatieSi,25/01/2019,30/06/2019
118,CRC002025,Regionally Significant,Bulk Import 25/01/136,CH\KatieSi,25/01/2019,30/06/2019
119,CRC002026,Regionally Significant,Bulk Import 25/01/137,CH\KatieSi,25/01/2019,30/06/2019
120,CRC002033.1,Associated Permits Confirmed,Bulk Import 25/01/138,CH\KatieSi,25/01/2019,30/06/2019
121,CRC002054.1,Associated Permits Confirmed,Bulk Import 25/01/139,CH\KatieSi,25/01/2019,30/06/2019
122,CRC002057,Associated Permits Confirmed,Bulk Import 25/01/140,CH\KatieSi,25/01/2019,30/06/2019
123,CRC002061,Complicated Allocation,Bulk Import 25/01/141,CH\KatieSi,25/01/2019,30/06/2019
124,CRC002062,Associated Permits Confirmed,Bulk Import 25/01/142,CH\KatieSi,25/01/2019,30/06/2019
125,CRC002064.1,Associated Permits Confirmed,Bulk Import 25/01/143,CH\KatieSi,25/01/2019,30/06/2019
126,CRC002085.1,Consents with Associated WAPS,Bulk Import 25/01/144,CH\KatieSi,25/01/2019,30/06/2019
127,CRC002098,Associated Permits Confirmed,Bulk Import 25/01/145,CH\KatieSi,25/01/2019,30/06/2019
128,CRC002108,Regionally Significant,Bulk Import 25/01/146,CH\KatieSi,25/01/2019,30/06/2019
129,CRC002114,Associated Permits Confirmed,Bulk Import 25/01/147,CH\KatieSi,25/01/2019,30/06/2019
130,CRC002120.2,Associated Permits Confirmed,Bulk Import 25/01/148,CH\KatieSi,25/01/2019,30/06/2019
131,CRC002128,Under 5l/s,Bulk Import 25/01/149,CH\KatieSi,25/01/2019,30/06/2019
132,CRC002133,Associated Permits Confirmed,Bulk Import 25/01/150,CH\KatieSi,25/01/2019,30/06/2019
133,CRC002148.1,Associated Permits Confirmed,Bulk Import 25/01/151,CH\KatieSi,25/01/2019,30/06/2019
134,CRC002152,Regionally Significant,Bulk Import 25/01/152,CH\KatieSi,25/01/2019,30/06/2019
135,CRC002157,Consents with Associated WAPS,Bulk Import 25/01/153,CH\KatieSi,25/01/2019,30/06/2019
136,CRC010009.1,Consents with Associated WAPS,Bulk Import 25/01/154,CH\KatieSi,25/01/2019,30/06/2019
137,CRC010012,Associated Permits Confirmed,Bulk Import 25/01/155,CH\KatieSi,25/01/2019,30/06/2019
138,CRC010018.1,Under 5l/s,Bulk Import 25/01/156,CH\KatieSi,25/01/2019,30/06/2019
139,CRC010048.2,Complicated Allocation,Bulk Import 25/01/157,CH\KatieSi,25/01/2019,30/06/2019
140,CRC010078,Complicated Allocation,Bulk Import 25/01/158,CH\KatieSi,25/01/2019,30/06/2019
141,CRC010095.2,Under 5l/s,Bulk Import 25/01/159,CH\KatieSi,25/01/2019,30/06/2019
142,CRC010111,Associated Permits Confirmed,Bulk Import 25/01/160,CH\KatieSi,25/01/2019,30/06/2019
143,CRC010128,Associated Permits Confirmed,Bulk Import 25/01/161,CH\KatieSi,25/01/2019,30/06/2019
144,CRC010136.1,Associated Permits Confirmed,Bulk Import 25/01/162,CH\KatieSi,25/01/2019,30/06/2019
145,CRC010159.1,Under 5l/s,Bulk Import 25/01/163,CH\KatieSi,25/01/2019,30/06/2019
146,CRC010167,Regionally Significant,Bulk Import 25/01/164,CH\KatieSi,25/01/2019,30/06/2019
147,CRC010173,Regionally Significant,Bulk Import 25/01/165,CH\KatieSi,25/01/2019,30/06/2019
148,CRC010174.3,Under 5l/s,Bulk Import 25/01/166,CH\KatieSi,25/01/2019,30/06/2019
149,CRC010180,Complicated Allocation,Bulk Import 25/01/167,CH\KatieSi,25/01/2019,30/06/2019
150,CRC010181,Regionally Significant,Bulk Import 25/01/168,CH\KatieSi,25/01/2019,30/06/2019
151,CRC010188,Associated Permits Confirmed,Bulk Import 25/01/169,CH\KatieSi,25/01/2019,30/06/2019
152,CRC010205.1,Associated Permits Confirmed,Bulk Import 25/01/170,CH\KatieSi,25/01/2019,30/06/2019
153,CRC010222.2,Consents with Associated WAPS,Bulk Import 25/01/171,CH\KatieSi,25/01/2019,30/06/2019
154,CRC010229.1,Under 5l/s,Bulk Import 25/01/172,CH\KatieSi,25/01/2019,30/06/2019
155,CRC010237.1,Under 5l/s,Bulk Import 25/01/173,CH\KatieSi,25/01/2019,30/06/2019
156,CRC010261.1,Associated Permits Confirmed,Bulk Import 25/01/174,CH\KatieSi,25/01/2019,30/06/2019
157,CRC010278.2,Associated Permits Confirmed,Bulk Import 25/01/175,CH\KatieSi,25/01/2019,30/06/2019
158,CRC010281,Consents with Associated WAPS,Bulk Import 25/01/176,CH\KatieSi,25/01/2019,30/06/2019
159,CRC010293.1,Under 5l/s,Bulk Import 25/01/177,CH\KatieSi,25/01/2019,30/06/2019
160,CRC010301.1,Consents with Associated WAPS,Bulk Import 25/01/178,CH\KatieSi,25/01/2019,30/06/2019
161,CRC010303,Consents with Associated WAPS,Bulk Import 25/01/179,CH\KatieSi,25/01/2019,30/06/2019
162,CRC010312.3,Associated Permits Confirmed,Bulk Import 25/01/180,CH\KatieSi,25/01/2019,30/06/2019
163,CRC010319,Under 5l/s,Bulk Import 25/01/181,CH\KatieSi,25/01/2019,30/06/2019
164,CRC010322.1,Under 5l/s,Bulk Import 25/01/182,CH\KatieSi,25/01/2019,30/06/2019
165,CRC010323.1,Under 5l/s,Bulk Import 25/01/183,CH\KatieSi,25/01/2019,30/06/2019
166,CRC010341,Under 5l/s,Bulk Import 25/01/184,CH\KatieSi,25/01/2019,30/06/2019
167,CRC010345.1,Associated Permits Confirmed,Bulk Import 25/01/185,CH\KatieSi,25/01/2019,30/06/2019
168,CRC010349,Regionally Significant,Bulk Import 25/01/186,CH\KatieSi,25/01/2019,30/06/2019
169,CRC010350.3,Consents with Associated WAPS,Bulk Import 25/01/187,CH\KatieSi,25/01/2019,30/06/2019
170,CRC010354.1,Associated Permits Confirmed,Bulk Import 25/01/188,CH\KatieSi,25/01/2019,30/06/2019
171,CRC010355,Consents with Associated WAPS,Bulk Import 25/01/189,CH\KatieSi,25/01/2019,30/06/2019
172,CRC010356,Under 5l/s,Bulk Import 25/01/190,CH\KatieSi,25/01/2019,30/06/2019
173,CRC010368,Under 5l/s,Bulk Import 25/01/191,CH\KatieSi,25/01/2019,30/06/2019
174,CRC010376,Associated Permits Confirmed,Bulk Import 25/01/192,CH\KatieSi,25/01/2019,30/06/2019
175,CRC010381.1,Consents with Associated WAPS,Bulk Import 25/01/193,CH\KatieSi,25/01/2019,30/06/2019
176,CRC010381.2,Consents with Associated WAPS,Bulk Import 25/01/194,CH\KatieSi,25/01/2019,30/06/2019
177,CRC010389.3,Associated Permits Confirmed,Bulk Import 25/01/195,CH\KatieSi,25/01/2019,30/06/2019
178,CRC010391,Associated Permits Confirmed,Bulk Import 25/01/196,CH\KatieSi,25/01/2019,30/06/2019
179,CRC010392,Under 5l/s,Bulk Import 25/01/197,CH\KatieSi,25/01/2019,30/06/2019
180,CRC010402,Consents with Associated WAPS,Bulk Import 25/01/198,CH\KatieSi,25/01/2019,30/06/2019
181,CRC010405.1,Under 5l/s,Bulk Import 25/01/199,CH\KatieSi,25/01/2019,30/06/2019
182,CRC010409.1,Under 5l/s,Bulk Import 25/01/200,CH\KatieSi,25/01/2019,30/06/2019
183,CRC010410.1,Associated Permits Confirmed,Bulk Import 25/01/201,CH\KatieSi,25/01/2019,30/06/2019
184,CRC010418,Under 5l/s,Bulk Import 25/01/202,CH\KatieSi,25/01/2019,30/06/2019
185,CRC010421.3,Associated Permits Confirmed,Bulk Import 25/01/203,CH\KatieSi,25/01/2019,30/06/2019
186,CRC010422.2,Consents with Associated WAPS,Bulk Import 25/01/204,CH\KatieSi,25/01/2019,30/06/2019
187,CRC010424.1,Under 5l/s,Bulk Import 25/01/205,CH\KatieSi,25/01/2019,30/06/2019
188,CRC010428.1,Associated Permits Confirmed,Bulk Import 25/01/206,CH\KatieSi,25/01/2019,30/06/2019
189,CRC010436,Under 5l/s,Bulk Import 25/01/207,CH\KatieSi,25/01/2019,30/06/2019
190,CRC010446.1,Associated Permits Confirmed,Bulk Import 25/01/208,CH\KatieSi,25/01/2019,30/06/2019
191,CRC010449,Consents with Associated WAPS,Bulk Import 25/01/209,CH\KatieSi,25/01/2019,30/06/2019
192,CRC010462,Regionally Significant,Bulk Import 25/01/210,CH\KatieSi,25/01/2019,30/06/2019
193,CRC010463.1,Complicated Allocation,Bulk Import 25/01/211,CH\KatieSi,25/01/2019,30/06/2019
194,CRC010463.2,Complicated Allocation,Bulk Import 25/01/212,CH\KatieSi,25/01/2019,30/06/2019
195,CRC010467,Under 5l/s,Bulk Import 25/01/213,CH\KatieSi,25/01/2019,30/06/2019
196,CRC010469,Associated Permits Confirmed,Bulk Import 25/01/214,CH\KatieSi,25/01/2019,30/06/2019
197,CRC010483.1,Associated Permits Confirmed,Bulk Import 25/01/215,CH\KatieSi,25/01/2019,30/06/2019
198,CRC010490.1,Associated Permits Confirmed,Bulk Import 25/01/216,CH\KatieSi,25/01/2019,30/06/2019
199,CRC010492,Under 5l/s,Bulk Import 25/01/217,CH\KatieSi,25/01/2019,30/06/2019
200,CRC010493.1,Associated Permits Confirmed,Bulk Import 25/01/218,CH\KatieSi,25/01/2019,30/06/2019
201,CRC010501,Associated Permits Confirmed,Bulk Import 25/01/219,CH\KatieSi,25/01/2019,30/06/2019
202,CRC010503.2,Associated Permits Confirmed,Bulk Import 25/01/220,CH\KatieSi,25/01/2019,30/06/2019
203,CRC010509,Under 5l/s,Bulk Import 25/01/221,CH\KatieSi,25/01/2019,30/06/2019
204,CRC010516,Consents with Associated WAPS,Bulk Import 25/01/222,CH\KatieSi,25/01/2019,30/06/2019
205,CRC010517,Under 5l/s,Bulk Import 25/01/223,CH\KatieSi,25/01/2019,30/06/2019
206,CRC010518.2,Under 5l/s,Bulk Import 25/01/224,CH\KatieSi,25/01/2019,30/06/2019
207,CRC010520,Associated Permits Confirmed,Bulk Import 25/01/225,CH\KatieSi,25/01/2019,30/06/2019
208,CRC010521,Under 5l/s,Bulk Import 25/01/226,CH\KatieSi,25/01/2019,30/06/2019
209,CRC010531.2,Complicated Allocation,Bulk Import 25/01/227,CH\KatieSi,25/01/2019,30/06/2019
210,CRC010532,Associated Permits Confirmed,Bulk Import 25/01/228,CH\KatieSi,25/01/2019,30/06/2019
211,CRC010533.2,Consents with Associated WAPS,Bulk Import 25/01/229,CH\KatieSi,25/01/2019,30/06/2019
212,CRC010535,Under 5l/s,Bulk Import 25/01/230,CH\KatieSi,25/01/2019,30/06/2019
213,CRC010536,Associated Permits Confirmed,Bulk Import 25/01/231,CH\KatieSi,25/01/2019,30/06/2019
214,CRC010551.3,Complicated Allocation,Bulk Import 25/01/232,CH\KatieSi,25/01/2019,30/06/2019
215,CRC010552.3,Consents with Associated WAPS,Bulk Import 25/01/233,CH\KatieSi,25/01/2019,30/06/2019
216,CRC010556.1,Consents with Associated WAPS,Bulk Import 25/01/234,CH\KatieSi,25/01/2019,30/06/2019
217,CRC010564,Under 5l/s,Bulk Import 25/01/235,CH\KatieSi,25/01/2019,30/06/2019
218,CRC010576.3,Regionally Significant,Bulk Import 25/01/236,CH\KatieSi,25/01/2019,30/06/2019
219,CRC010581.2,Consents with Associated WAPS,Bulk Import 25/01/237,CH\KatieSi,25/01/2019,30/06/2019
220,CRC010587,Under 5l/s,Bulk Import 25/01/238,CH\KatieSi,25/01/2019,30/06/2019
221,CRC010588.3,Associated Permits Confirmed,Bulk Import 25/01/239,CH\KatieSi,25/01/2019,30/06/2019
222,CRC010594.2,Under 5l/s,Bulk Import 25/01/240,CH\KatieSi,25/01/2019,30/06/2019
223,CRC010596.3,Regionally Significant,Bulk Import 25/01/241,CH\KatieSi,25/01/2019,30/06/2019
224,CRC010597.4,Regionally Significant,Bulk Import 25/01/242,CH\KatieSi,25/01/2019,30/06/2019
225,CRC010599.1,Associated Permits Confirmed,Bulk Import 25/01/243,CH\KatieSi,25/01/2019,30/06/2019
226,CRC010602.1,Consents with Associated WAPS,Bulk Import 25/01/244,CH\KatieSi,25/01/2019,30/06/2019
227,CRC010605.1,Under 5l/s,Bulk Import 25/01/245,CH\KatieSi,25/01/2019,30/06/2019
228,CRC010613,Regionally Significant,Bulk Import 25/01/246,CH\KatieSi,25/01/2019,30/06/2019
229,CRC010622.2,Complicated Allocation,Bulk Import 25/01/247,CH\KatieSi,25/01/2019,30/06/2019
230,CRC010642,Associated Permits Confirmed,Bulk Import 25/01/248,CH\KatieSi,25/01/2019,30/06/2019
231,CRC010678.3,Consents with Associated WAPS,Bulk Import 25/01/249,CH\KatieSi,25/01/2019,30/06/2019
232,CRC010680,Under 5l/s,Bulk Import 25/01/250,CH\KatieSi,25/01/2019,30/06/2019
233,CRC010696.2,Under 5l/s,Bulk Import 25/01/251,CH\KatieSi,25/01/2019,30/06/2019
234,CRC010699,Associated Permits Confirmed,Bulk Import 25/01/252,CH\KatieSi,25/01/2019,30/06/2019
235,CRC010704.1,Consents with Associated WAPS,Bulk Import 25/01/253,CH\KatieSi,25/01/2019,30/06/2019
236,CRC010717.1,Complicated Allocation,Bulk Import 25/01/254,CH\KatieSi,25/01/2019,30/06/2019
237,CRC010725.1,Consents with Associated WAPS,Bulk Import 25/01/255,CH\KatieSi,25/01/2019,30/06/2019
238,CRC010739,Under 5l/s,Bulk Import 25/01/256,CH\KatieSi,25/01/2019,30/06/2019
239,CRC010754.3,Consents with Associated WAPS,Bulk Import 25/01/257,CH\KatieSi,25/01/2019,30/06/2019
240,CRC010755.2,Consents with Associated WAPS,Bulk Import 25/01/258,CH\KatieSi,25/01/2019,30/06/2019
241,CRC010756.1,Consents with Associated WAPS,Bulk Import 25/01/259,CH\KatieSi,25/01/2019,30/06/2019
242,CRC010762,Associated Permits Confirmed,Bulk Import 25/01/260,CH\KatieSi,25/01/2019,30/06/2019
243,CRC010779.1,Under 5l/s,Bulk Import 25/01/261,CH\KatieSi,25/01/2019,30/06/2019
244,CRC010782.3,Consents with Associated WAPS,Bulk Import 25/01/262,CH\KatieSi,25/01/2019,30/06/2019
245,CRC010784.2,Consents with Associated WAPS,Bulk Import 25/01/263,CH\KatieSi,25/01/2019,30/06/2019
246,CRC010786,Regionally Significant,Bulk Import 25/01/264,CH\KatieSi,25/01/2019,30/06/2019
247,CRC010790.1,Associated Permits Confirmed,Bulk Import 25/01/265,CH\KatieSi,25/01/2019,30/06/2019
248,CRC010795,Associated Permits Confirmed,Bulk Import 25/01/266,CH\KatieSi,25/01/2019,30/06/2019
249,CRC010801,Consents with Associated WAPS,Bulk Import 25/01/267,CH\KatieSi,25/01/2019,30/06/2019
250,CRC010802.1,Under 5l/s,Bulk Import 25/01/268,CH\KatieSi,25/01/2019,30/06/2019
251,CRC010814.2,Associated Permits Confirmed,Bulk Import 25/01/269,CH\KatieSi,25/01/2019,30/06/2019
252,CRC010820.1,Under 5l/s,Bulk Import 25/01/270,CH\KatieSi,25/01/2019,30/06/2019
